,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
197303,-6.3925,-4.0494,-2.4571,-1.0094,-1.8602,-5.0037,-2.4485,-2.4409,-2.177,-0.283,-4.4951,-4.4394,-2.205,-1.6521,0.9617,-4.0322,-3.9619,-1.7675,-2.3969,0.699,-0.731,-0.9675,1.8182,1.8676,1.5684
197304,-12.511,-9.8493,-6.6975,-6.1837,-5.3959,-13.9321,-9.407,-5.723,-4.1639,-4.9986,-10.8025,-6.5345,-3.8403,-3.8097,-4.422,-10.8936,-7.9107,-3.1734,-2.8442,-4.2768,-5.8799,-3.3741,-2.129,-0.742,-2.7667
197305,-11.3772,-11.2302,-8.902,-7.8372,-8.3684,-11.1742,-9.1356,-7.798,-5.7441,-9.3094,-9.104,-8.5407,-4.3308,-3.3493,-6.8255,-6.8483,-8.4053,-2.3104,-2.5585,-4.9005,0.2196,-1.0717,-0.9933,-3.3207,-5.6495
197306,-5.0735,-3.8913,-4.851,-2.7837,-2.3574,-6.9167,-3.6879,-2.9353,-2.1186,-1.9082,-6.0736,-3.0359,-1.6318,-1.2679,-2.7147,-4.5716,-3.8065,-3.1298,-0.9477,-3.8522,-0.3759,-0.344,0.8658,-0.7798,-2.0346
197307,19.072,16.1685,11.9528,13.397,10.7737,21.4626,14.035,11.414,6.7447,10.0291,18.8871,9.6239,7.9777,2.3553,7.7105,15.3509,9.038,6.2119,3.7711,8.7438,5.4259,5.7071,-0.1917,1.9714,4.2147
197308,-5.3985,-6.8371,-6.0458,-5.955,-4.5571,-2.7285,-7.3372,-4.7465,-5.2323,-4.0975,-3.026,-4.468,-3.4728,-2.7348,-0.7739,-2.4562,-1.1394,-2.5192,-1.8711,-0.7866,-3.4389,-2.2276,-3.694,-2.5386,0.7834
197309,12.0577,11.1544,6.9156,7.8112,7.0507,11.0609,11.4221,11.848,6.9878,10.3359,11.2856,9.8005,10.1708,9.0113,10.5263,9.89,11.9637,11.1434,10.001,11.407,0.3144,7.0786,8.6242,8.6143,8.2805
197310,-2.5062,0.4746,1.4577,-0.0412,1.3363,-3.0101,-2.9862,0.8678,1.7736,0.8798,-3.8558,2.3487,0.8595,-0.2304,1.5237,-2.3213,-1.8773,0.8811,-0.2276,1.6343,0.5308,-0.7673,0.1652,-2.9964,2.5391
197311,-25.1409,-21.0435,-19.2853,-16.9361,-18.1953,-23.2438,-19.8936,-19.4595,-15.8426,-16.1633,-22.8001,-18.3924,-16.3364,-12.0439,-15.3687,-20.306,-17.1675,-13.9387,-12.6688,-14.7422,-10.8864,-12.3899,-10.8456,-6.2923,-8.2928
197312,-3.799,-4.7115,-2.8065,-3.8805,-4.2881,-0.5494,-4.3047,-0.6982,-1.0296,-1.0822,-1.2476,0.4103,0.7942,1.1274,2.3758,0.2822,2.3343,6.8016,3.0468,7.0613,-1.6962,0.7835,7.279,5.0341,11.1402
197401,10.3843,14.4836,14.8589,12.919,18.5375,4.682,10.5891,9.5355,10.2557,13.8823,5.0404,4.8892,8.1885,7.0388,11.5607,-2.1961,2.8295,2.924,7.978,5.6402,-1.9023,0.7523,-2.9811,0.6854,-0.0811
197402,-0.4504,-0.92,-0.5018,0.1953,1.1295,0.3744,1.9002,1.1871,1.7737,3.8966,-2.7915,0.4491,1.1826,0.308,2.3508,-2.4407,0.9941,2.395,2.1288,3.5661,-1.1585,1.6036,-0.844,2.767,3.8685
197403,0.1496,-0.6508,0.2994,1.4259,2.1476,-1.4628,1.2051,-1.436,-0.9013,0.5404,-1.5434,-0.8433,-2.9449,-1.7893,-1.0124,-2.557,-3.7921,-4.964,-2.7771,-2.2055,-1.4172,-3.7075,-2.399,-3.483,-4.7639
197404,-4.6452,-5.9099,-5.6044,-5.2032,-3.9399,-8.3699,-6.407,-6.1834,-3.3861,-3.253,-6.2608,-6.77,-3.6318,-5.684,-2.3789,-6.9366,-6.8869,-5.9056,-6.6759,-1.6388,-2.7244,-4.8307,-5.0267,-6.1189,-5.4354
197405,-8.3293,-7.412,-8.0066,-7.0811,-6.3617,-6.4469,-8.0731,-7.6726,-7.4152,-7.3854,-7.3109,-8.8767,-6.842,-7.4787,-8.3239,-6.133,-8.7447,-5.3801,-6.0258,-7.3483,-0.8696,-3.2807,-5.685,-3.3432,-7.8585
197406,-3.7151,-3.2725,-2.4467,-2.3285,-1.5347,-3.5324,-4.0445,-3.2368,-0.6787,-0.583,-4.2626,-2.6343,-3.2272,-4.5555,-0.4817,-3.3051,-3.3972,-2.4006,-5.308,-4.4222,-1.49,-3.1496,-1.7531,-2.0432,1.5684
197407,-8.4715,-5.542,-5.0901,-4.5178,-4.1407,-7.7825,-4.3188,-4.3046,-3.5962,-2.8372,-6.6715,-2.2587,-2.4339,-3.1012,0.97,-8.5003,-5.884,-2.2152,-0.7463,-1.6177,-10.8944,-4.1711,-3.6423,-4.12,-5.1544
197408,-9.1024,-8.3293,-7.5086,-7.5209,-6.9933,-9.583,-10.9999,-6.0131,-7.6078,-5.4773,-10.8692,-10.4275,-6.7662,-7.279,-6.8996,-11.7833,-8.8539,-8.5932,-5.9969,-6.5303,-10.0071,-7.6464,-4.5925,-7.9405,-8.6889
197409,-12.8918,-8.6406,-6.9588,-6.9869,-8.6717,-12.1581,-7.4995,-7.9126,-7.6586,-7.384,-13.1948,-8.2128,-6.8098,-4.7662,-6.4531,-11.5632,-6.851,-5.2946,-5.6118,-7.6631,-14.9186,-9.9753,-4.9295,-5.2452,-6.6313
197410,16.4012,7.1661,7.2194,7.7012,8.855,16.4286,10.7328,6.7886,8.1387,6.7567,18.7726,10.9698,7.3522,8.3584,10.2116,21.2099,13.2178,11.5073,10.0293,8.7818,22.2031,13.8352,13.3401,10.6006,1.3923
197411,-6.1118,-5.6632,-5.0486,-5.2283,-6.9362,-4.2392,-4.0404,-3.8907,-5.1526,-7.0524,-4.7126,-3.9682,-2.8586,-4.1493,-1.9526,-2.2883,-0.3565,-1.5244,-4.0003,-4.7937,-4.5668,-3.3143,-4.0859,-2.4032,-4.1831
197412,-7.0853,-8.1334,-7.2474,-7.4998,-8.9705,-6.3349,-6.1392,-5.2226,-6.8763,-5.644,-5.602,-4.227,-4.0872,-4.9878,-7.2481,-4.4703,-2.8228,-3.9626,-2.113,-8.6745,-3.8274,0.4302,1.3441,-1.1046,1.8779
197501,25.1985,30.069,28.2814,28.2656,33.2035,21.4454,26.6206,26.6153,27.1808,29.6542,18.9787,25.0351,22.0549,23.4949,29.2201,15.6047,20.246,23.8873,24.0697,27.8541,9.3012,13.9775,13.932,19.8662,15.6797
197502,7.7169,5.1878,3.2137,3.6068,4.9859,8.5324,6.7867,1.5567,3.8163,2.0191,7.4185,3.1953,3.2423,4.5844,4.6654,6.4918,2.7081,1.7455,2.832,2.7556,9.6064,2.75,3.7671,2.2084,-3.2339
197503,8.9409,10.7724,8.807,8.0019,9.7477,6.8158,7.1514,6.8766,5.8896,8.5342,5.9567,6.6347,4.2543,7.1121,5.3077,5.9257,6.2005,5.3121,5.0619,5.0417,2.7082,1.8429,-1.1943,6.2754,6.1513
197504,7.2429,6.2618,4.1693,2.889,3.0793,6.0252,3.783,2.7489,1.3663,3.9616,5.6696,4.8498,5.1843,3.8238,3.2776,6.9673,3.2652,2.7861,4.9253,6.6052,5.7208,4.7546,0.8657,5.4812,5.0109
197505,11.7289,11.1419,8.387,7.9429,7.0959,12.1382,7.8542,6.9722,7.8459,7.699,5.2595,8.1834,4.3832,7.9967,1.2462,7.744,5.6637,5.4565,3.9196,5.8189,4.9723,8.5905,4.661,-0.3741,0.952
197506,5.6052,7.6895,7.4868,8.958,8.1412,9.5278,7.333,7.1415,8.3878,2.9795,5.7932,5.2228,6.6343,5.5792,4.7688,5.2291,7.772,7.6449,10.544,8.9636,3.5527,7.1334,4.8652,6.8054,7.4251
197507,-1.7352,0.2287,-1.3736,-0.6749,-0.622,-3.604,-3.2351,-2.3121,-3.4625,-4.0898,-5.1617,-3.4102,-3.4512,-3.7802,-5.9753,-7.2791,-6.3941,-4.2064,-4.2931,-6.8476,-8.1429,-4.1032,-4.6279,-5.7062,-1.5548
197508,-6.8287,-6.2774,-4.6618,-5.4237,-7.817,-4.7166,-3.8617,-5.3924,-4.1021,-7.906,-3.9091,-3.328,-3.1745,-4.2999,-5.6477,-4.4046,-3.3731,-3.1474,-2.4419,-0.6864,-1.9466,-1.8242,-1.7367,2.1809,-4.4636
197509,-5.4907,-2.5546,-3.3164,-2.9674,-3.8371,-3.2862,-3.951,-3.492,-3.4523,-5.4483,-5.2618,-2.8344,-4.0597,-4.1734,-4.0265,-4.5177,-3.4387,-3.4597,-3.1481,-4.4732,-4.6265,-1.3094,-2.4132,-4.2387,-5.3542
197510,1.2311,1.341,2.7032,2.9432,1.0143,2.2264,4.1316,1.4048,4.1053,4.2278,1.8721,3.8634,3.5306,5.2559,0.3648,5.6899,6.3416,7.0906,5.576,6.9316,7.1686,5.6243,4.413,6.8431,3.9012
197511,-0.0803,2.0314,1.8333,2.3037,3.7319,-0.0338,3.1542,2.1169,4.1683,4.1218,1.9551,2.8979,4.6344,4.2177,1.1077,2.9615,4.0792,4.0087,7.0322,6.0613,3.2696,2.1354,3.2359,2.973,4.7373
197512,-0.8609,-1.2186,-1.1328,-1.2291,-1.2607,-2.6223,-1.4387,0.8702,-1.0184,-2.237,-0.8343,-1.4874,0.712,-0.2133,3.0862,-2.4317,0.7102,-0.1656,-0.4225,-0.7657,-2.5986,0.9139,0.2335,0.6389,5.2476
197601,15.6909,16.9568,21.4911,23.4947,26.9278,13.032,16.4669,16.5383,21.2334,26.7618,16.1852,15.0803,16.9741,18.3283,21.5876,12.738,13.4483,16.5284,18.5687,22.5976,11.1489,9.5133,13.8833,17.0251,15.1633
197602,10.1979,7.3918,10.1221,11.7814,15.7746,7.532,6.4103,7.3684,8.6847,11.3194,3.8959,3.767,5.5082,7.1075,13.0954,0.7301,3.3738,4.3052,4.9045,3.9316,-2.3321,1.4153,-0.8382,-1.0065,9.4418
197603,3.2229,2.1417,2.0225,0.7255,1.447,0.9158,1.025,0.1692,1.1911,2.7152,1.3066,0.8596,1.9781,1.9552,2.1419,0.8853,2.0607,1.2048,1.5671,6.8046,3.1416,3.6845,2.9891,3.1458,-1.0107
197604,-1.2603,-0.8374,-2.6732,-1.1099,-1.8772,-1.236,-1.5847,-0.6005,-0.9974,-2.1461,-1.5577,0.031,-0.6887,-0.9683,-0.4939,-1.61,-1.3784,-0.5292,-2.2787,-3.7345,-2.2738,0.3527,1.6001,0.8283,1.1439
197605,-1.8621,-1.8109,-1.5438,-3.6248,-4.4935,-0.5759,-2.0724,-1.0338,-2.6284,-4.4012,-1.492,-1.4472,-1.6342,-1.4612,-2.9869,-2.3531,-1.2202,-1.0254,-4.2348,1.226,-1.055,0.5886,-0.9657,-2.0507,1.3951
197606,4.2856,2.2115,1.9918,3.3202,2.0504,2.6463,3.1161,3.4032,3.589,6.0871,4.3787,5.3241,6.5488,4.5276,8.1408,4.1091,5.0403,7.0142,8.3753,3.9122,4.3087,3.9802,5.6331,5.8088,2.9431
197607,-0.9886,-1.9169,0.7693,-0.3428,1.0965,-1.0865,-0.1362,2.7177,0.3105,1.4731,-1.5013,-0.5609,0.5854,0.5073,0.3137,-1.5838,0.4934,0.4675,1.6078,1.3878,-1.6287,0.1927,0.2302,-0.7529,2.6397
197608,-4.3898,-1.7541,-1.2388,-1.7142,-1.768,-4.497,-1.746,-2.4713,-1.3169,-1.5888,-2.6645,-1.4032,-0.9588,-0.1281,-4.1687,-2.6708,0.3136,1.5037,-0.9472,0.4255,-0.2781,0.4178,1.8684,-0.5342,1.0659
